step,t,energy,dE,one_minus_norm_sq,m_stag,max_chi,min_schmidt_tail,max_schmidt_tail
0,0.0,-8.501141027141,0.0,-1.554e-15,-0.183164779357,16,3.585e-05,5.418e-01
1,0.050000,-8.501141016771,1.037e-08,1.220e-09,-0.183895685753,16,NaN,NaN
2,0.100000,-8.501141016771,1.037e-08,1.220e-09,-0.186067234394,16,NaN,NaN
3,0.150000,-8.501141016771,1.037e-08,1.220e-09,-0.189616647974,16,NaN,NaN
4,0.200000,-8.501141016771,1.037e-08,1.220e-09,-0.194441766394,16,NaN,NaN
5,0.250000,-8.501141016771,1.037e-08,1.220e-09,-0.200404473706,16,NaN,NaN
6,0.300000,-8.501141016771,1.037e-08,1.220e-09,-0.207335688518,16,NaN,NaN
7,0.350000,-8.501141016771,1.037e-08,1.220e-09,-0.215041085140,16,NaN,NaN
8,0.400000,-8.501141016771,1.037e-08,1.220e-09,-0.223307808107,16,NaN,NaN
9,0.450000,-8.501141016771,1.037e-08,1.220e-09,-0.231911776756,16,NaN,NaN
10,0.500000,-8.501141016771,1.037e-08,1.220e-09,-0.240625254722,16,2.523e-05,5.156e-01
11,0.550000,-8.501141016771,1.037e-08,1.220e-09,-0.249224448242,16,NaN,NaN
12,0.600000,-8.501141016771,1.037e-08,1.220e-09,-0.257496796560,16,NaN,NaN
13,0.650000,-8.501141016771,1.037e-08,1.220e-09,-0.265247768954,16,NaN,NaN
14,0.700000,-8.501141016771,1.037e-08,1.220e-09,-0.272306774243,16,NaN,NaN
15,0.750000,-8.501141016771,1.037e-08,1.220e-09,-0.278532018406,16,NaN,NaN
16,0.800000,-8.501141016771,1.037e-08,1.220e-09,-0.283814127054,16,NaN,NaN
17,0.850000,-8.501141016771,1.037e-08,1.220e-09,-0.288078414077,16,NaN,NaN
18,0.900000,-8.501141016771,1.037e-08,1.220e-09,-0.291285731106,16,NaN,NaN
19,0.950000,-8.501141016771,1.037e-08,1.220e-09,-0.293431861404,16,NaN,NaN
20,1.000000,-8.501141016771,1.037e-08,1.220e-09,-0.294545569505,16,2.420e-04,4.564e-01
